,Geographic Area Name,Estimate!!Median income (dollars)!!HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households
1571,"Jefferson, IA Urban Cluster (2010)",49506
1572,"Jefferson, NC Urban Cluster (2010)",31057
1573,"Jefferson, OH Urban Cluster (2010)",54229
1574,"Jefferson City, MO Urbanized Area (2010)",53707
1575,"Jefferson Township North, NJ Urban Cluster (2010)",112295
1576,"Jena, LA Urban Cluster (2010)",38325
1577,"Jennings, LA Urban Cluster (2010)",31180
1578,"Jerome, ID Urban Cluster (2010)",42428
1579,"Jersey Shore, PA Urban Cluster (2010)",46926
1580,"Jerseyville, IL Urban Cluster (2010)",48993
1581,"Jesup, GA Urban Cluster (2010)",39074
1582,"Jewett City, CT Urban Cluster (2010)",57365
1583,"Jim Thorpe, PA Urban Cluster (2010)",52188
1584,"Johnson City, TN Urbanized Area (2010)",42802
1585,"Johnson Creek, WI Urban Cluster (2010)",85757
1586,"Johnson Lane, NV Urban Cluster (2010)",86101
1587,"Johnston City, IL Urban Cluster (2010)",38750
1588,"Johnstown, CO Urban Cluster (2010)",86722
1589,"Johnstown, OH Urban Cluster (2010)",57290
1590,"Johnstown, PA Urbanized Area (2010)",38021
1591,"Jonesboro, AR Urbanized Area (2010)",43634
1592,"Jonesboro, LA Urban Cluster (2010)",25873
1593,"Jones Creek, TX Urban Cluster (2010)",52679
1594,"Joplin, MO Urbanized Area (2010)",49585
1595,"Jordan, MN Urban Cluster (2010)",76250
1596,"Juana Díaz, PR Urbanized Area (2010)",20101
1597,"Junction, TX Urban Cluster (2010)",39044
1598,"Junction City, KS Urban Cluster (2010)",48983
1599,"Junction City, OR Urban Cluster (2010)",53137
1600,"Juneau, AK Urban Cluster (2010)",85204
1601,"Juneau, WI Urban Cluster (2010)",54890
1602,"Jupiter Farms, FL Urban Cluster (2010)",109080
1603,"Justin, TX Urban Cluster (2010)",78350
1604,"Kahului, HI Urbanized Area (2010)",86858
1605,"Kailua (Hawaii County)&Holualoa, HI Urban Cluster (2010)",78483
1606,"Kailua (Honolulu County)&Kaneohe, HI Urbanized Area (2010)",106070
1607,"Kalaheo, HI Urban Cluster (2010)",80015
1608,"Kalama, WA Urban Cluster (2010)",73646
1609,"Kalamazoo, MI Urbanized Area (2010)",52825
1610,"Kalispell, MT Urban Cluster (2010)",50075
1611,"Kalkaska, MI Urban Cluster (2010)",40679
1612,"Kamas, UT Urban Cluster (2010)",71667
1613,"Kanab, UT Urban Cluster (2010)",42260
1614,"Kane, PA Urban Cluster (2010)",39851
1615,"Kankakee, IL Urbanized Area (2010)",55681
1616,"Kansas City, MO&KS Urbanized Area (2010)",64284
1617,"Kapaa, HI Urban Cluster (2010)",88811
1618,"Kapaau, HI Urban Cluster (2010)",66655
1619,"Kaplan, LA Urban Cluster (2010)",35699
1620,"Karnes City, TX Urban Cluster (2010)",55525
1621,"Kasson, MN Urban Cluster (2010)",76524
1622,"Kaufman, TX Urban Cluster (2010)",45109
1623,"Kayenta, AZ Urban Cluster (2010)",31852
1624,"Kearney, MO Urban Cluster (2010)",80494
1625,"Kearney, NE Urban Cluster (2010)",56621
1626,"Keene, NH Urban Cluster (2010)",52754
1627,"Kekaha, HI Urban Cluster (2010)",86201
1628,"Kellogg, ID Urban Cluster (2010)",32841
1629,"Kelseyville, CA Urban Cluster (2010)",47948
1630,"Kemmerer, WY Urban Cluster (2010)",56144
1631,"Kenai, AK Urban Cluster (2010)",49235
1632,"Kendallville, IN Urban Cluster (2010)",43164
1633,"Kenedy, TX Urban Cluster (2010)",40348
1634,"Kennebunk, ME Urban Cluster (2010)",72014
1635,"Kennett, MO Urban Cluster (2010)",38524
1636,"Kennewick&Pasco, WA Urbanized Area (2010)",66722
1637,"Kenosha, WI&IL Urbanized Area (2010)",59708
1638,"Kenton, OH Urban Cluster (2010)",40714
1639,"Keokuk, IA&IL Urban Cluster (2010)",40919
1640,"Kerman, CA Urban Cluster (2010)",46449
1641,"Kermit, TX Urban Cluster (2010)",58640
1642,"Kerrville, TX Urban Cluster (2010)",50080
1643,"Ketchikan, AK Urban Cluster (2010)",65521
1644,"Ketchum, ID Urban Cluster (2010)",51414
1645,"Kewanee, IL Urban Cluster (2010)",41250
1646,"Kewaunee, WI Urban Cluster (2010)",45469
1647,"Key Largo, FL Urban Cluster (2010)",73197
1648,"Keyser, WV&MD Urban Cluster (2010)",40527
1649,"Keystone Heights, FL Urban Cluster (2010)",51815
1650,"Key West, FL Urban Cluster (2010)",69074
1651,"Kiel&New Holstein, WI Urban Cluster (2010)",62523
1652,"Kihei, HI Urban Cluster (2010)",80417
1653,"Kilauea, HI Urban Cluster (2010)",82708
1654,"Kilgore, TX Urban Cluster (2010)",54696
1655,"Kill Devil Hills, NC Urban Cluster (2010)",65437
1656,"Killeen, TX Urbanized Area (2010)",51088
1657,"Kimberling City, MO Urban Cluster (2010)",63935
1658,"King City, CA Urban Cluster (2010)",54152
1659,"Kingfisher, OK Urban Cluster (2010)",51187
1660,"King George, VA Urban Cluster (2010)",101553
1661,"Kingman, AZ Urban Cluster (2010)",43062
1662,"Kingman, KS Urban Cluster (2010)",49022
1663,"Kingsland, TX Urban Cluster (2010)",43700
1664,"Kingsport, TN&VA Urbanized Area (2010)",45667
1665,"Kingston, NY Urbanized Area (2010)",57273
1666,"Kingstree, SC Urban Cluster (2010)",27167
1667,"Kingsville, TX Urban Cluster (2010)",41117
1668,"Kingwood, WV Urban Cluster (2010)",52997
1669,"Kinross, MI Urban Cluster (2010)",31048
1670,"Kinston, NC Urban Cluster (2010)",38322
1671,"Kirksville, MO Urban Cluster (2010)",33750
1672,"Kirtland, NM Urban Cluster (2010)",54844
1673,"Kissimmee, FL Urbanized Area (2010)",54026
1674,"Kittanning&Ford City, PA Urban Cluster (2010)",42509
1675,"Klamath Falls&Altamont, OR Urban Cluster (2010)",42468
1676,"Knightstown, IN Urban Cluster (2010)",50767
1677,"Knox, IN Urban Cluster (2010)",37027
1678,"Knoxville, IA Urban Cluster (2010)",48234
1679,"Knoxville, TN Urbanized Area (2010)",56361
1680,"Kodiak, AK Urban Cluster (2010)",83893
1681,"Kokomo, IN Urbanized Area (2010)",47140
1682,"Kosciusko, MS Urban Cluster (2010)",26556
1683,"Kotzebue, AK Urban Cluster (2010)",81188
1684,"Krum, TX Urban Cluster (2010)",74141
1685,"Kuna, ID Urban Cluster (2010)",69423
1686,"Kutztown, PA Urban Cluster (2010)",52305
1687,"LaBelle&Port LaBelle, FL Urban Cluster (2010)",36534
1688,"La Center, WA Urban Cluster (2010)",98563
1689,"Laconia, NH Urban Cluster (2010)",56219
1690,"La Conner, WA Urban Cluster (2010)",62212
1691,"La Crosse, WI&MN Urbanized Area (2010)",54424
1692,"Lady Lake&The Villages, FL Urbanized Area (2010)",52395
1693,"Ladysmith, WI Urban Cluster (2010)",40089
1694,"LaFayette, GA Urban Cluster (2010)",31418
1695,"Lafayette, IN Urbanized Area (2010)",48838
1696,"Lafayette, LA Urbanized Area (2010)",52912
1697,"Lafayette, TN Urban Cluster (2010)",30449
1698,"Lafayette&Louisville&Erie, CO Urbanized Area (2010)",103820
1699,"La Follette, TN Urban Cluster (2010)",39586
1700,"Lago Vista, TX Urban Cluster (2010)",78000
1701,"La Grande, OR Urban Cluster (2010)",45267
1702,"LaGrange, GA Urban Cluster (2010)",36710
1703,"Lagrange, IN Urban Cluster (2010)",45208
1704,"La Grange, NC Urban Cluster (2010)",33984
1705,"LaGrange, OH Urban Cluster (2010)",68654
1706,"La Grange, TX Urban Cluster (2010)",63231
1707,"Lahaina, HI Urban Cluster (2010)",77585
1708,"Laie&Hauula, HI Urban Cluster (2010)",86810
1709,"La Junta, CO Urban Cluster (2010)",40270
1710,"Lake Arrowhead&Crestline, CA Urban Cluster (2010)",62253
1711,"Lake Arthur, LA Urban Cluster (2010)",33333
1712,"Lake Bryant, FL Urban Cluster (2010)",33111
1713,"Lake Butler, FL Urban Cluster (2010)",33722
1714,"Lake Charles, LA Urbanized Area (2010)",47282
1715,"Lake City, FL Urban Cluster (2010)",40161
1716,"Lake City, MN Urban Cluster (2010)",57628
1717,"Lake City, SC Urban Cluster (2010)",38431
1718,"Lake Conroe Eastshore, TX Urban Cluster (2010)",88527
1719,"Lake Conroe Northshore, TX Urban Cluster (2010)",59049
1720,"Lake Conroe Westshore, TX Urban Cluster (2010)",77897
1721,"Lake Crystal, MN Urban Cluster (2010)",65398
1722,"Lake Delton, WI Urban Cluster (2010)",45449
1723,"Lake Geneva, WI Urban Cluster (2010)",57339
1724,"Lake Havasu City, AZ Urbanized Area (2010)",53462
1725,"Lake Holiday, IL Urban Cluster (2010)",75729
1726,"Lake Isabella, CA Urban Cluster (2010)",28667
1727,"Lake Jackson&Angleton, TX Urbanized Area (2010)",65189
1728,"Lake Lakengren, OH Urban Cluster (2010)",73520
1729,"Lakeland, FL Urbanized Area (2010)",52879
1730,"Lakeland, GA Urban Cluster (2010)",18720
1731,"Lake Land'Or, VA Urban Cluster (2010)",73750
1732,"Lake Los Angeles, CA Urban Cluster (2010)",45656
1733,"Lake Meade, PA Urban Cluster (2010)",111000
1734,"Lake Mills, WI Urban Cluster (2010)",71790
1735,"Lake Montezuma, AZ Urban Cluster (2010)",39664
1736,"Lake Monticello, VA Urban Cluster (2010)",80113
1737,"Lake Murray North Shore, SC Urban Cluster (2010)",103472
1738,"Lake Norman of Catawba, NC Urban Cluster (2010)",63399
1739,"Lake of the Pines, CA Urban Cluster (2010)",88925
1740,"Lake of the Woods, VA Urban Cluster (2010)",87165
1741,"Lake of the Woods&Pinetop-Lakeside, AZ Urban Cluster (2010)",51810
1742,"Lake Panasoffkee, FL Urban Cluster (2010)",35483
1743,"Lake Park, GA Urban Cluster (2010)",35438
1744,"Lake Placid, FL Urban Cluster (2010)",39240
1745,"Lake Placid, NY Urban Cluster (2010)",59119
1746,"Lake Pocotopaug&East Hampton, CT Urban Cluster (2010)",92757
1747,"Lakeport, CA Urban Cluster (2010)",46973
1748,"Lake Providence, LA Urban Cluster (2010)",16431
1749,"Lake Rancho Viejo, CA Urban Cluster (2010)",101910
1750,"Lakes&Knik-Fairview&Wasilla, AK Urban Cluster (2010)",77274
1751,"Lake View, AL Urban Cluster (2010)",85316
1752,"Lakeview, OR Urban Cluster (2010)",39615
1753,"Lake Village, AR Urban Cluster (2010)",38665
1754,"Lake Wildwood, CA Urban Cluster (2010)",57627
1755,"Lamar, CO Urban Cluster (2010)",41663
1756,"Lamar, MO Urban Cluster (2010)",31644
1757,"Lamesa, TX Urban Cluster (2010)",36077
1758,"Lampasas, TX Urban Cluster (2010)",47466
1759,"Lanai City, HI Urban Cluster (2010)",55143
1760,"Lancaster, KY Urban Cluster (2010)",31194
1761,"Lancaster, OH Urban Cluster (2010)",44997
1762,"Lancaster, PA Urbanized Area (2010)",64993
1763,"Lancaster, SC Urban Cluster (2010)",37698
1764,"Lancaster, WI Urban Cluster (2010)",54552
1765,"Lancaster&Palmdale, CA Urbanized Area (2010)",58996
1766,"Lander, WY Urban Cluster (2010)",57692
1767,"Landrum, SC&NC Urban Cluster (2010)",46053
1768,"Lansing, MI Urbanized Area (2010)",53015
1769,"Lapeer, MI Urban Cluster (2010)",42526
1770,"La Pine Northwest, OR Urban Cluster (2010)",69892
1771,"Laramie, WY Urban Cluster (2010)",46121
1772,"Laredo, TX Urbanized Area (2010)",46995
1773,"Larned, KS Urban Cluster (2010)",43945
1774,"Las Animas, CO Urban Cluster (2010)",23934
1775,"Las Cruces, NM Urbanized Area (2010)",43131
1776,"Las Vegas, NM Urban Cluster (2010)",26923
1777,"Las Vegas&Henderson, NV Urbanized Area (2010)",59121
1778,"Laughlin, NV Urban Cluster (2010)",37102
1779,"Laurel, MS Urban Cluster (2010)",31313
1780,"Laurel, MT Urban Cluster (2010)",57149
1781,"Laurel Lake, NJ Urban Cluster (2010)",45417
1782,"Laurens, SC Urban Cluster (2010)",36212
1783,"Laurinburg, NC Urban Cluster (2010)",28847
1784,"Laurium, MI Urban Cluster (2010)",39204
1785,"Lawrence, KS Urbanized Area (2010)",53752
1786,"Lawrenceburg, KY Urban Cluster (2010)",51302
1787,"Lawrenceburg, TN Urban Cluster (2010)",33971
1788,"Lawrenceburg&Greendale&Aurora, IN Urban Cluster (2010)",43098
1789,"Lawrenceville, IL Urban Cluster (2010)",42500
1790,"Lawrenceville, VA Urban Cluster (2010)",21875
1791,"Lawton, OK Urbanized Area (2010)",47906
1792,"Lead, SD Urban Cluster (2010)",43750
1793,"Leadville, CO Urban Cluster (2010)",50759
1794,"Leavenworth, KS Urban Cluster (2010)",63731
1795,"Leavenworth, WA Urban Cluster (2010)",56629
1796,"Lebanon, IN Urban Cluster (2010)",54500
1797,"Lebanon, KY Urban Cluster (2010)",29796
1798,"Lebanon, MO Urban Cluster (2010)",39911
1799,"Lebanon, OR Urban Cluster (2010)",48198
1800,"Lebanon, PA Urbanized Area (2010)",54958
1801,"Lebanon, TN Urban Cluster (2010)",52629
1802,"Lebanon, VA Urban Cluster (2010)",43233
1803,"Lebanon&Hanover, NH&VT Urban Cluster (2010)",64620
1804,"Lee, MA Urban Cluster (2010)",58011
1805,"Leesburg, GA Urban Cluster (2010)",58906
1806,"Leesburg&Eustis&Tavares, FL Urbanized Area (2010)",46667
1807,"Lee's Summit, MO Urbanized Area (2010)",87602
1808,"Leesville, LA Urban Cluster (2010)",35326
1809,"Leitchfield, KY Urban Cluster (2010)",29531
1810,"Leland, MS Urban Cluster (2010)",33190
1811,"Le Mars, IA Urban Cluster (2010)",62741
1812,"Lemoore Station, CA Urban Cluster (2010)",52450
1813,"Lena, IL Urban Cluster (2010)",56576
1814,"Leominster&Fitchburg, MA Urbanized Area (2010)",60644
1815,"Leonardtown, MD Urban Cluster (2010)",102955
1816,"Le Roy, IL Urban Cluster (2010)",73200
1817,"Le Roy, NY Urban Cluster (2010)",54320
1818,"Le Sueur, MN Urban Cluster (2010)",56172
1819,"Levelland, TX Urban Cluster (2010)",46346
1820,"Lewes, DE Urban Cluster (2010)",73518
1821,"Lewisburg, TN Urban Cluster (2010)",42762
1822,"Lewisburg, WV Urban Cluster (2010)",34833
1823,"Lewiston, ID&WA Urbanized Area (2010)",54511
1824,"Lewiston, ME Urbanized Area (2010)",44785
1825,"Lewistown, MT Urban Cluster (2010)",37925
1826,"Lewistown, PA Urban Cluster (2010)",45536
1827,"Lexington, MO Urban Cluster (2010)",58950
1828,"Lexington, NE Urban Cluster (2010)",52429
1829,"Lexington, TN Urban Cluster (2010)",34363
1830,"Lexington, VA Urban Cluster (2010)",46179
1831,"Lexington-Fayette, KY Urbanized Area (2010)",56535
1832,"Lexington Park&California&Chesapeake Ranch Estates, MD Urbanized Area (2010)",83774
1833,"Libby, MT Urban Cluster (2010)",38604
1834,"Liberal, KS Urban Cluster (2010)",49589
1835,"Liberty, NY Urban Cluster (2010)",32096
1836,"Liberty, TX Urban Cluster (2010)",57978
1837,"Ligonier, IN Urban Cluster (2010)",44075
1838,"Ligonier, PA Urban Cluster (2010)",61797
1839,"Lihue, HI Urban Cluster (2010)",82679
1840,"Lillington, NC Urban Cluster (2010)",35179
1841,"Lima, OH Urbanized Area (2010)",44474
1842,"Lincoln, IL Urban Cluster (2010)",50412
1843,"Lincoln, NE Urbanized Area (2010)",56950
1844,"Lincoln, ND Urban Cluster (2010)",94292
1845,"Lincoln City, OR Urban Cluster (2010)",39916
1846,"Lincolnton, NC Urban Cluster (2010)",45091
1847,"Lindale&Hideaway, TX Urban Cluster (2010)",63858
1848,"Lindsay, CA Urban Cluster (2010)",31002
1849,"Lindsay, OK Urban Cluster (2010)",45261
1850,"Lindsborg, KS Urban Cluster (2010)",52552
1851,"Lindstrom&Chisago City, MN Urban Cluster (2010)",78260
1852,"Linton, IN Urban Cluster (2010)",34289
1853,"Lisbon, OH Urban Cluster (2010)",35929
1854,"Litchfield, CT Urban Cluster (2010)",55357
1855,"Litchfield, IL Urban Cluster (2010)",44238
1856,"Litchfield, MN Urban Cluster (2010)",56968
1857,"Little Falls, MN Urban Cluster (2010)",41625
1858,"Little Falls, NY Urban Cluster (2010)",42406
1859,"Littlefield, TX Urban Cluster (2010)",44176
1860,"Little Rock, AR Urbanized Area (2010)",53677
1861,"Littlestown, PA Urban Cluster (2010)",68365
1862,"Littleton, NH Urban Cluster (2010)",39247
1863,"Live Oak (Sutter County), CA Urban Cluster (2010)",54417
1864,"Live Oak, FL Urban Cluster (2010)",47672
1865,"Livermore, CA Urbanized Area (2010)",125368
1866,"Livermore Falls, ME Urban Cluster (2010)",38183
1867,"Livingston, MT Urban Cluster (2010)",48229
1868,"Livingston, TN Urban Cluster (2010)",31164
1869,"Livingston, TX Urban Cluster (2010)",42876
1870,"Livonia, LA Urban Cluster (2010)",41075
1871,"Llano, TX Urban Cluster (2010)",36655
1872,"Lochbuie, CO Urban Cluster (2010)",63829
1873,"Lockhart, TX Urban Cluster (2010)",55443
1874,"Lock Haven, PA Urban Cluster (2010)",43836
1875,"Lockport, NY Urban Cluster (2010)",48222
1876,"Locust, NC Urban Cluster (2010)",57344
1877,"Lodi, CA Urbanized Area (2010)",58951
1878,"Lodi, OH Urban Cluster (2010)",39766
1879,"Lodi, WI Urban Cluster (2010)",72117
1880,"Logan, OH Urban Cluster (2010)",37902
1881,"Logan, UT Urbanized Area (2010)",56373
1882,"Logan, WV Urban Cluster (2010)",36622
1883,"Logansport, IN Urban Cluster (2010)",39791
1884,"Lolo, MT Urban Cluster (2010)",61238
1885,"Lompoc, CA Urbanized Area (2010)",61235
1886,"London, OH Urban Cluster (2010)",55046
1887,"London&Corbin, KY Urban Cluster (2010)",37208
1888,"Long Beach, MD Urban Cluster (2010)",98824
1889,"Longmont, CO Urbanized Area (2010)",74270
1890,"Long Neck, DE Urban Cluster (2010)",59114
1891,"Long Prairie, MN Urban Cluster (2010)",42281
1892,"Longview, TX Urbanized Area (2010)",48757
1893,"Longview, WA&OR Urbanized Area (2010)",46075
1894,"Lonoke, AR Urban Cluster (2010)",42888
1895,"Lonsdale, MN Urban Cluster (2010)",87424
1896,"Loogootee, IN Urban Cluster (2010)",44925
1897,"Lorain&Elyria, OH Urbanized Area (2010)",47004
1898,"Los Alamos, NM Urban Cluster (2010)",109341
1899,"Los Angeles&Long Beach&Anaheim, CA Urbanized Area (2010)",71338
1900,"Los Banos, CA Urban Cluster (2010)",62533
1901,"Los Lunas, NM Urbanized Area (2010)",49068
1902,"Los Molinos, CA Urban Cluster (2010)",45476
1903,"Louisa, KY&WV Urban Cluster (2010)",26390
1904,"Louisburg, KS Urban Cluster (2010)",64792
1905,"Louisburg, NC Urban Cluster (2010)",33542
1906,"Louisiana, MO Urban Cluster (2010)",37092
1907,"Louisville, GA Urban Cluster (2010)",26029
1908,"Louisville, MS Urban Cluster (2010)",31085
1909,"Louisville/Jefferson County, KY&IN Urbanized Area (2010)",57731
1910,"Lovington, NM Urban Cluster (2010)",51585
1911,"Lowell, IN Urban Cluster (2010)",66543
1912,"Lowell, MI Urban Cluster (2010)",73204
1913,"Lowville, NY Urban Cluster (2010)",45848
1914,"Lubbock, TX Urbanized Area (2010)",50653
1915,"Lucasville, OH Urban Cluster (2010)",63750
1916,"Lucedale, MS Urban Cluster (2010)",28299
1917,"Ludington, MI Urban Cluster (2010)",50275
1918,"Lufkin, TX Urban Cluster (2010)",48603
1919,"Lula, GA Urban Cluster (2010)",46618
1920,"Luling, TX Urban Cluster (2010)",49122
1921,"Lumberton, NC Urban Cluster (2010)",38595
1922,"Luray, VA Urban Cluster (2010)",43917
1923,"Luverne, MN Urban Cluster (2010)",57198
1924,"Lykens, PA Urban Cluster (2010)",43000
1925,"Lynchburg, VA Urbanized Area (2010)",50748
1926,"Lynden, WA Urban Cluster (2010)",64308
1927,"Lyndonville, VT Urban Cluster (2010)",35250
1928,"Lyons, KS Urban Cluster (2010)",54770
1929,"Lytle, TX Urban Cluster (2010)",55724
1930,"Mabton, WA Urban Cluster (2010)",46406
1931,"McAlester, OK Urban Cluster (2010)",43391
1932,"McAllen, TX Urbanized Area (2010)",40514
1933,"Macclenny, FL Urban Cluster (2010)",59543
1934,"McComb, MS Urban Cluster (2010)",29092
1935,"McConnelsville, OH Urban Cluster (2010)",29747
1936,"McCook, NE Urban Cluster (2010)",47500
1937,"McFarland, CA Urban Cluster (2010)",35607
1938,"McGehee, AR Urban Cluster (2010)",27468
1939,"McGregor, TX Urban Cluster (2010)",58668
1940,"McKenzie, TN Urban Cluster (2010)",32736
1941,"Mackinaw, IL Urban Cluster (2010)",81563
1942,"McKinney, TX Urbanized Area (2010)",97939
1943,"McLeansboro, IL Urban Cluster (2010)",47139
1944,"McMinnville, OR Urban Cluster (2010)",56825
1945,"McMinnville, TN Urban Cluster (2010)",36530
1946,"Macomb, IL Urban Cluster (2010)",40019
1947,"Macon, GA Urbanized Area (2010)",38182
1948,"Macon, MS Urban Cluster (2010)",20882
1949,"Macon, MO Urban Cluster (2010)",37945
1950,"McPherson, KS Urban Cluster (2010)",57035
1951,"McRae, GA Urban Cluster (2010)",27985
1952,"Madera, CA Urbanized Area (2010)",49246
1953,"Madill, OK Urban Cluster (2010)",42839
1954,"Madison, FL Urban Cluster (2010)",26854
1955,"Madison, GA Urban Cluster (2010)",66439
1956,"Madison, IN&KY Urban Cluster (2010)",41636
1957,"Madison, SD Urban Cluster (2010)",54178
1958,"Madison, WV Urban Cluster (2010)",34359
1959,"Madison, WI Urbanized Area (2010)",70600
1960,"Madisonville, KY Urban Cluster (2010)",43209
1961,"Madisonville, TN Urban Cluster (2010)",49834
1962,"Madisonville, TX Urban Cluster (2010)",50245
1963,"Madras, OR Urban Cluster (2010)",43036
1964,"Magee, MS Urban Cluster (2010)",31368
1965,"Magnolia, AR Urban Cluster (2010)",32343
1966,"Magnolia, TX Urban Cluster (2010)",71012
1967,"Mahomet, IL Urban Cluster (2010)",92939
1968,"Maiden, NC Urban Cluster (2010)",52377
1969,"Malakoff, TX Urban Cluster (2010)",29637
1970,"Malden, MO Urban Cluster (2010)",38411
1971,"Malone, NY Urban Cluster (2010)",38981
1972,"Malvern, AR Urban Cluster (2010)",33734
1973,"Malvern, OH Urban Cluster (2010)",46250
1974,"Mammoth Lakes, CA Urban Cluster (2010)",59878
1975,"Mamou, LA Urban Cluster (2010)",27598
1976,"Manchester, GA Urban Cluster (2010)",28973
1977,"Manchester, IA Urban Cluster (2010)",51094
1978,"Manchester, KY Urban Cluster (2010)",31905
1979,"Manchester, MD Urban Cluster (2010)",95786
1980,"Manchester, NH Urbanized Area (2010)",67812
1981,"Manchester, TN Urban Cluster (2010)",49484
1982,"Mandeville&Covington, LA Urbanized Area (2010)",79192
1983,"Mangum, OK Urban Cluster (2010)",38429
1984,"Manhattan, KS Urbanized Area (2010)",49768
1985,"Manila, AR Urban Cluster (2010)",52701
1986,"Manistee, MI Urban Cluster (2010)",44330
1987,"Manistique, MI Urban Cluster (2010)",33813
1988,"Manitowoc, WI Urban Cluster (2010)",48269
1989,"Mankato, MN Urbanized Area (2010)",54769
1990,"Mannford, OK Urban Cluster (2010)",52212
1991,"Manning, SC Urban Cluster (2010)",29103
1992,"Manor, TX Urban Cluster (2010)",78505
1993,"Mansfield, LA Urban Cluster (2010)",26151
1994,"Mansfield, OH Urbanized Area (2010)",43329
1995,"Mansfield, PA Urban Cluster (2010)",34983
1996,"Manteca, CA Urbanized Area (2010)",73151
1997,"Manteo, NC Urban Cluster (2010)",50460
1998,"Manti, UT Urban Cluster (2010)",48315
1999,"Many, LA Urban Cluster (2010)",21308
2000,"Maquoketa, IA Urban Cluster (2010)",44560
2001,"Marana West, AZ Urban Cluster (2010)",89105
2002,"Marathon, FL Urban Cluster (2010)",58657
2003,"Marble Falls, TX Urban Cluster (2010)",50876
2004,"Marengo, IL Urban Cluster (2010)",64142
2005,"Marianna, AR Urban Cluster (2010)",17339
2006,"Marianna, FL Urban Cluster (2010)",23331
2007,"Maricao, PR Urban Cluster (2010)",15614
2008,"Maricopa, AZ Urban Cluster (2010)",74764
2009,"Marietta, OH&WV Urban Cluster (2010)",46337
2010,"Marinette&Menominee, WI&MI Urban Cluster (2010)",40849
2011,"Marion, IN Urban Cluster (2010)",37441
2012,"Marion, KY Urban Cluster (2010)",38156
2013,"Marion, NC Urban Cluster (2010)",39058
2014,"Marion, OH Urban Cluster (2010)",41097
2015,"Marion, SC Urban Cluster (2010)",33935
2016,"Marion, VA Urban Cluster (2010)",30426
2017,"Marion Oaks, FL Urban Cluster (2010)",55518
2018,"Marks, MS Urban Cluster (2010)",22101
2019,"Marksville, LA Urban Cluster (2010)",21906
2020,"Marlin, TX Urban Cluster (2010)",20809
2021,"Marlow, OK Urban Cluster (2010)",42449
2022,"Marquette, MI Urban Cluster (2010)",49275
2023,"Marseilles, IL Urban Cluster (2010)",60057
2024,"Marshall, IL Urban Cluster (2010)",42950
2025,"Marshall, MI Urban Cluster (2010)",50122
2026,"Marshall, MN Urban Cluster (2010)",49803
2027,"Marshall, MO Urban Cluster (2010)",42368
2028,"Marshall, TX Urban Cluster (2010)",40681
2029,"Marshall, WI Urban Cluster (2010)",61607
2030,"Marshalltown, IA Urban Cluster (2010)",51498
2031,"Marshfield, MO Urban Cluster (2010)",41076
2032,"Marshfield, WI Urban Cluster (2010)",53122
2033,"Martin, TN Urban Cluster (2010)",32671
2034,"Martinsburg, PA Urban Cluster (2010)",46652
2035,"Martinsville, IN Urban Cluster (2010)",47078
2036,"Martinsville, VA Urban Cluster (2010)",36809
2037,"Marysville, KS Urban Cluster (2010)",42628
2038,"Marysville, OH Urban Cluster (2010)",80361
2039,"Marysville, WA Urbanized Area (2010)",86810
2040,"Maryville, MO Urban Cluster (2010)",34897
2041,"Mascoutah, IL Urban Cluster (2010)",79144
2042,"Mason City, IA Urban Cluster (2010)",50036
2043,"Masontown, PA Urban Cluster (2010)",32279
2044,"Massena, NY Urban Cluster (2010)",44813
2045,"Mathis, TX Urban Cluster (2010)",34075
2046,"Mattawa, WA Urban Cluster (2010)",51855
2047,"Mattoon, IL Urban Cluster (2010)",40804
2048,"Mauldin&Simpsonville, SC Urbanized Area (2010)",79805
2049,"Mauston, WI Urban Cluster (2010)",46283
2050,"Mayagüez, PR Urbanized Area (2010)",15242
2051,"Maybrook, NY Urban Cluster (2010)",75219
2052,"Mayfield, KY Urban Cluster (2010)",34110
2053,"Mayodan, NC Urban Cluster (2010)",34172
2054,"Maysville, KY&OH Urban Cluster (2010)",33470
2055,"Mayville, WI Urban Cluster (2010)",46889
2056,"Mazomanie, WI Urban Cluster (2010)",64779
2057,"Meadville, PA Urban Cluster (2010)",44775
2058,"Mecca, CA Urban Cluster (2010)",19214
2059,"Medford, OR Urbanized Area (2010)",51840
2060,"Medford, WI Urban Cluster (2010)",41224
2061,"Medical Lake, WA Urban Cluster (2010)",60358
2062,"Medina, NY Urban Cluster (2010)",46226
2063,"Medina, TN Urban Cluster (2010)",69681
2064,"Melrose, MN Urban Cluster (2010)",61635
2065,"Memphis, TN&MS&AR Urbanized Area (2010)",51704
2066,"Mena, AR Urban Cluster (2010)",36095
2067,"Mendota, CA Urban Cluster (2010)",31145
2068,"Mendota, IL Urban Cluster (2010)",52227
2069,"Menomonie, WI Urban Cluster (2010)",45745
2070,"Merced, CA Urbanized Area (2010)",50004
2071,"Mercer, PA Urban Cluster (2010)",47455
2072,"Meridian, MS Urban Cluster (2010)",31209
2073,"Merrill, WI Urban Cluster (2010)",49351
2074,"Mescalero Park, TX Urban Cluster (2010)",61309
2075,"Mesquite, NV&AZ Urban Cluster (2010)",49969
2076,"Metamora, IL Urban Cluster (2010)",62540
2077,"Metropolis, IL Urban Cluster (2010)",35905
